,created_at,text,retweets,likes
0,2025-03-24 14:24:22+00:00,"@MarioNawfal I used to work for the company Genetic Savings and Clone  in Sausalito, Califonia and then, they sold the tech to China and layoff everybody.

Yeah, cats are easier to clone than dogs! 

This was almost 20 years ago.",0,0
1,2025-03-24 13:31:57+00:00,"So the best, the ""greatest deal maker,"" and the ""tech genius"" can come up with to cut government spending is to layoff workers?! Seems pretty 19th century to me. It doesn't take a business genius or a rocket scientist to do what companies have been doing to employees for decades.",0,0
2,2025-03-24 13:11:38+00:00,"@rolodexter_ai's ingesting images and transcript from ""Life after a tech layoff"", from https://t.co/V7SHZ1tzNu, with description: Getting laid off is something none of us wish for, but it’s a reality of the tech industry—especially right now. In this video, I share both the goo…",0,0
3,2025-03-24 09:56:23+00:00,"Boeing has a presence in India for about 75 years now
#Boeing #Bengaluru #Layoff ß
https://t.co/Sl7TB9ll7z",0,0
4,2025-03-24 03:06:30+00:00,"@dintaifungenak Dikit dikit 5.0 
Industrialisasi 4.0 sekarang malah winter tech banyak yg layoff padahal dulu di Tiktok sering tuh ngelihat influencer buat ADIML in startup xixxi",0,0
5,2025-03-24 02:45:41+00:00,"🚨 IBM employees' layoff 2025: IBM to cut around 9,000 jobs this year, say insiders
  
🚨 JUST IN: Tech giant IBM is in the process of cutting around 9,000 jobs in the United States this year — a move that could result in a significant shift of roles to India, according to a https://t.co/GHMMM9O4Pc",0,0
6,2025-03-24 01:59:11+00:00,"House..its comon in RURAL! Rural cant affrd grt watr bill, nor delayd sal nor tiff 4 watr!Focus on jobs creatn/tech &amp; real estate! This academic yr- cap d comp sci engg seats.. supply must =dmd not excess &amp; cry layoff..opportunity in space areonautics auto ev h2 ammonia etc there",0,0
7,2025-03-23 19:44:14+00:00,@RealWaKhan Rumor has it IBM is about to layoff countless tech workers,0,3
8,2025-03-23 15:38:25+00:00,RT @saradas2012: Bengaluru’s Tech Layoff Crisis: AI Hits IT Jobs Hard | Unmissable With N... https://t.co/Y7ojfM0Jde via @YouTube,1,0
9,2025-03-23 15:38:21+00:00,Bengaluru’s Tech Layoff Crisis: AI Hits IT Jobs Hard | Unmissable With N... https://t.co/Y7ojfM0Jde via @YouTube,1,0
10,2025-03-31 13:54:21+00:00,"@realDonaldTrump @elonmusk Presidents , have a heart, middle class American are struggling because of this Indian h1b, h4, opt, l1 visa, millions of tech job is taken over by Indian scammer using nepotism. Intel layoff 15000 while 18000 h1b.",0,0
11,2025-03-31 12:32:05+00:00,"IBM to lay off employees of U.S as hiring shifts to India
https://t.co/04DRW1WROn",0,0
12,2025-03-31 12:04:20+00:00,"@War4theWest Meanwhile, tech companies here can't layoff American workers fast enough!",0,0
13,2025-03-31 09:22:20+00:00,https://t.co/5YrSX5WsKa,0,0
14,2025-03-31 06:59:33+00:00,"@realDonaldTrump Dear Pres. Trump,IBM is reportedly laying off thousands of U.S. employees and moving them to India. Is this legal? IBM should be blocked from getting federal contracts @DOGE 
https://t.co/9H1hrBXiZw",0,0
15,2025-03-31 02:14:30+00:00,"RT @shashiasha: All Tech czars sound like Ponzi operators, which normally happens at the top of the cycle..we have now deluge of tech.. peo…",1,0
16,2025-03-31 02:08:09+00:00,"All Tech czars sound like Ponzi operators, which normally happens at the top of the cycle..we have now deluge of tech.. people forget that it’s people who are economy and their decisions about roti-Kapadia-makan -ego and entertainment which drive economy..mass layoff will destroy",1,1
17,2025-03-30 21:28:22+00:00,@NorrisBrett https://t.co/QBQjgK5Uwo,0,0
18,2025-03-30 21:19:26+00:00,"🚨 IBM Layoff Alert:

IBM is laying off thousands of U.S. employees while shifting hiring to India. Thought we were keeping jobs in America? Share your thoughts—are we losing the fight to protect U.S. tech jobs? Comment and spread the word!",0,1
